word,count
eso,195
este,188
mensaje,176
tengo,128
estoy,124
voy,118
solo,117
quiero,110
porque,102
editó,101
soy,100
mamá,98
así,92
bueno,91
amor,86
nada,84
cuando,82
tú,81
ns,77
todo,77
ella,74
bien,69
andrés,67
pues,65
osea,63
eres,63
ni,62
hacer,60
ti,60
mejor,59
amo,58
mis,57
siempre,57
ese,56
nunca,56
eliminaste,53
pa,52
verdad,51
algo,51
va,51
dije,51
pq,50
xd,50
ahora,49
amigos,49
puedo,48
esa,47
cosas,47
fin,47
ahí,46
sabes,45
digo,45
mal,42
tiene,42
nisiquera,40
creo,39
vez,39
son,38
quieres,38
casa,38
